Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
Wine Type,Grape Type,Wine Style,Wine Note 1,Wine Note 2,Wine Note 3,Wine Note 4,Cheese Type,Cheese Family,Cheese Texture,Cheese Flavor 1,Cheese Flavor 2,Cheese Flavor 3,Cheese Flavor 4,Combination Type,Combination Symbol,Combination details (PR),Combination details (EN)
Red,Cabernet Sauvignon,Full-bodied,Firm tannins,Black fruits,Spiced,,Blue,Blue,Creamy-crumbly,Intense,Salty,Spicy,Blue veins,Complementary,C,O queijo azul intensifica os sabores complexos do vinho Red Encorpado.,Blue cheese intensifies the complex flavors of Red Full-bodied wine.
Red,Cabernet Sauvignon,Full-bodied,Firm tannins,Black fruits,Spiced,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,O Gouda suave e levemente salgado combina com os taninos e frutas negras do vinho.,The smooth and lightly salty Gouda combines with the tannins and black fruits of the wine.
Red,Cabernet Sauvignon,Full-bodied,Firm tannins,Black fruits,Spiced,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola complementa o vinho com seu sabor intenso e picante.,Gorgonzola complements the wine with its intense and spicy flavor.
Red,Cabernet Sauvignon,Full-bodied,Firm tannins,Black fruits,Spiced,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Pecorino destaca os sabores do vinho com sua textura granulada e sabor intenso.,Pecorino brings out the flavors of the wine with its grainy texture and intense flavor.
Red,Cabernet Sauvignon,Full-bodied,Firm tannins,Black fruits,Spiced,,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Parmesão acentua o perfil do vinho com sua textura granulada e sabor salgado.,Parmesan accentuates the wine's profile with its grainy texture and salty flavor.
Red,Merlot,Medium-body,Black fruits,Soft tannins,Round-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,The smoothness of Gouda complements the soft tannins and round body of Merlot.
Red,Merlot,Medium-body,Black fruits,Soft tannins,Round-body,,Blue,Blue,Creamy-crumbly,Intense,Salty,Spicy,Blue veins,Contrasting,Cr,O contraste entre o vinho suave e o queijo azul intenso pode destacar ambos.,The contrast between the soft wine and the intense blue cheese can highlight both.
Red,Merlot,Medium-body,Black fruits,Soft tannins,Round-body,,Gruyère,Semi-hard,Firm-soft,Milky,Fruity,Slightly spicy,Complex,Complementary,C,Gruyère harmoniza com o Merlot ao equilibrar o frutado e o corpo do vinho.,Gruyère harmonizes with Merlot by balancing the fruitiness and body of the wine.
Red,Merlot,Medium-body,Black fruits,Soft tannins,Round-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,The smoothness of Gouda complements the soft tannins and round body of Merlot.
Red,Pinot Noir,Light-Medium,Red fruits,Floral,Soft tannins,,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,A cremosidade do Brie combina bem com os taninos suaves e o perfil frutado do Pinot Noir.,The creaminess of Brie pairs well with the soft tannins and fruity profile of Pinot Noir.
Red,Pinot Noir,Light-Medium,Red fruits,Floral,Soft tannins,,Camembert,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Camembert e Pinot Noir harmonizam pela textura cremosa e o sabor leve.,Camembert and Pinot Noir harmonize with their creamy texture and light flavor.
Red,Pinot Noir,Light-Medium,Red fruits,Floral,Soft tannins,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Contrasting,Cr,A combinação de Gouda e Pinot Noir pode criar um interessante contraste de sabores.,The combination of Gouda and Pinot Noir can create an interesting contrast of flavors.
Red,Shiraz,Full-bodied,Black fruits,Spiced,Robust tannins,,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,O queijo azul complementa o caráter robusto e especiado do Syrah/Shiraz.,The blue cheese complements the robust and spicy character of the Syrah/Shiraz.
Red,Shiraz,Full-bodied,Black fruits,Spiced,Robust tannins,,Cheddar,Hard,Firm-brittle,Salty,Slightly acidic,Fruity,,Contrasting,Cr,O Cheddar acrescenta um contraste interessante com o vinho robusto e especiado.,"The Cheddar adds an interesting contrast to the robust, spicy wine."
Red,Malbec,Full-bodied,Black fruits,Spiced,Firm tannins,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola e Malbec oferecem uma combinação intensa e complexa de sabores.,Gorgonzola and Malbec offer an intense and complex combination of flavors.
Red,Malbec,Full-bodied,Black fruits,Spiced,Firm tannins,,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort realça a intensidade e complexidade do Malbec.,Roquefort highlights the intensity and complexity of Malbec.
Red,Malbec,Full-bodied,Black fruits,Spiced,Firm tannins,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Pecorino e Malbec combinam devido à textura e ao sabor intenso do queijo.,Pecorino and Malbec go well because of the texture and intense flavor of the cheese.
Red,Malbec,Full-bodied,Black fruits,Spiced,Firm tannins,,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Parmesão combina com Malbec pelo seu sabor forte e textura granulada.,Parmesan combines with Malbec for its strong flavor and grainy texture.
Red,Carménère,Medium-to-Full-bodied,Red fruits,Spiced,Vegetable,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Carménère harmonizam devido à suavidade e ao caráter frutado do vinho.,Gouda and Carménère harmonize due to the smoothness and fruitiness of the wine.
Red,Carménère,Medium-to-Full-bodied,Red fruits,Spiced,Vegetable,,Emmental,Semi-hard,Firm-soft,Milky,Slightly fruity,Slightly sweet,,Complementary,C,Emmental complementa o vinho com sua textura e sabor frutado e suave.,"Emmental complements the wine with its fruity, smooth texture and flavor."
Red,Tempranillo,Full-bodied,Red fruits,Spiced,Ripe tannins,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Pecorino destaca o sabor complexo do Tempranillo com sua textura e intensidade.,Pecorino highlights the complex flavor of Tempranillo with its texture and intensity.
Red,Tempranillo,Full-bodied,Red fruits,Spiced,Ripe tannins,,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Parmesão e Tempranillo combinam devido à intensidade e complexidade de ambos.,Parmesan and Tempranillo combine due to the intensity and complexity of both.
Rosé,Merlot,Medium-body,Red fruits,Soft tannins,Round-body,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Contrasting,Cr,Pecorino é intenso e salgado contrastando com as frutas vermelhas e taninos suaves do Merlot.,Pecorino is intense and salty contrasting with the red fruits and soft tannins of Merlot.
Rosé,Merlot,Medium-body,Red fruits,Soft tannins,Round-body,,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Contrasting,Cr,Parmesão tem um sabor intenso e salgado que contrasta com o perfil frutado e suave do Merlot.,Parmesan has an intense and salty flavor that contrasts with the fruity and smooth profile of Merlot.
Rosé,Merlot,Medium-body,Red fruits,Soft tannins,Round-body,,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie é suave e cremoso combinando bem com as frutas vermelhas e taninos suaves do Merlot.,"Brie is smooth and creamy, pairing well with the red fruits and soft tannins of Merlot."
Rosé,Merlot,Medium-body,Red fruits,Soft tannins,Round-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda complementa o Merlot com sua textura macia e sabores leitosos e levemente salgados.,"Gouda complements Merlot with its soft texture and milky, slightly salty flavors."
Rosé,Malbec,Medium-to-Full-bodied,Red and black fruits,Spiced,Firm tannins,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Gorgonzola combina com o Malbec por sua intensidade e picância realçando os sabores do vinho.,"Gorgonzola combines with Malbec for its intensity and spiciness, enhancing the flavors of the wine."
Rosé,Malbec,Medium-to-Full-bodied,Red and black fruits,Spiced,Firm tannins,,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Complementary,C,Roquefort e Malbec combinam por sua intensidade e complexidade de sabores.,Roquefort and Malbec combine for their intensity and complexity of flavors.
Rosé,Grenache,Light-Medium,Red fruits,Medium-body,Soft tannins,,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Rosé combinam pela suavidade e frescor de ambos.,Brie and Rosé combine for the softness and freshness of both.
Rosé,Grenache,Light-Medium,Red fruits,Medium-body,Soft tannins,,Mozzarella,Fresh,Stretchy-soft,Smooth,Milky,Slightly salty,,Complementary,C,Mozzarella e Rosé harmonizam pela leveza e frescor dos dois.,Mozzarella and Rosé harmonize for the lightness and freshness of both.
Rosé,Grenache,Light-Medium,Red fruits,Medium-body,Soft tannins,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda combina com Grenache pela textura e perfil suave criando uma harmonia entre os sabores.,Gouda combines with Grenache for its texture and smooth profile creating a harmony between flavors.
Rosé,Shiraz,Medium,Red and black fruits,Spiced,Medium-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Syrah/Shiraz se complementam pela textura e sabores ricos e aveludados.,"Gouda and Syrah/Shiraz complement each other by the texture and rich, velvety flavors."
Rosé,Shiraz,Medium,Red and black fruits,Spiced,Medium-body,,Emmental,Semi-hard,Firm-soft,Milky,Slightly fruity,Slightly sweet,,Complementary,C,Emmental e Syrah/Shiraz harmonizam com a textura firme e sabores levemente frutados.,Emmental and Syrah/Shiraz harmonize with the firm texture and slightly fruity flavors.
Rosé,Shiraz,Medium,Red and black fruits,Spiced,Medium-body,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola oferece um contraste forte com Syrah/Shiraz pela sua intensidade e picância.,Gorgonzola offers a stark contrast to Syrah/Shiraz for its intensity and spiciness.
Rosé,Mourvèdre,Medium,Black fruits,Spiced,Robust tannins,Medium-body,Comté,Hard,Granular-hard,Intense,Fruity,Slightly spicy,,Complementary,C,Comté e Mourvèdre combinam bem pela intensidade e complexidade dos sabores.,Comté and Mourvèdre combine well for the intensity and complexity of the flavors.
Rosé,Mourvèdre,Medium,Black fruits,Spiced,Robust tannins,Medium-body,Manchego,Hard,Brittle,Intense,Salty,Velvety,Nutty,Complementary,C,Manchego e Mourvèdre se complementam pela textura quebradiça e os sabores intensos e salgados.,"Manchego and Mourvèdre complement each other with their crumbly texture and intense, salty flavors."
Rosé,Cinsault,Light,Red fruits,High acidity, taninos leves,Light body,Mozzarella,Fresh,Stretchy-soft,Smooth,Milky,Slightly salty,,Complementary,C,Mozzarella e Cinsault harmonizam pela leveza e frescor complementando os sabores sutis do vinho.,"Mozzarella and Cinsault harmonize for their lightness and freshness, complementing the subtle flavors of the wine."
Rosé,Cinsault,Light,Red fruits,High acidity, taninos leves,Light body,Ricota,Fresh,Granular-soft,Smooth,Slightly sweet,Fresh,,Complementary,C,Ricota combina com Cinsault pela suavidade e frescor harmonizando os sabores delicados.,"Ricotta combines with Cinsault for its smoothness and freshness, harmonizing delicate flavors."
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.,"Gouda and Tempranillo match the rich, slightly salty texture and flavors of the cheese."
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Manchego,Hard,Brittle,Intense,Salty,Velvety,Nutty,Complementary,C,Manchego e Tempranillo se complementam pela textura quebradiça e os sabores intensos e salgados.,"Manchego and Tempranillo complement each other with their crumbly texture and intense, salty flavors."
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Tempranillo oferecem um contraste entre a intensidade picante do queijo e o perfil frutado do vinho.,Roquefort and Tempranillo offer a contrast between the spicy intensity of the cheese and the fruity profile of the wine.
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola oferece um contraste robusto com o Tempranillo pela sua intensidade e picância.,Gorgonzola offers a robust contrast to Tempranillo for its intensity and spiciness.
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.,"Gouda and Tempranillo match the rich, slightly salty texture and flavors of the cheese."
Rosé,Tempranillo,Light-Medium,Red and black fruits,Ripe tannins,Medium-body,,Emmental,Semi-hard,Firm-soft,Milky,Slightly fruity,Slightly sweet,,Complementary,C,Emmental e Rosé com Tempranillo se harmonizam bem com a leveza e frescor do vinho equilibrando a textura firme e o sabor levemente adocicado do queijo.,"Emmental and Rosé with Tempranillo harmonize well with the lightness and freshness of the wine, balancing the firm texture and slightly sweet flavor of the cheese."
Rosé,Sangiovese,Light-Medium,Sour red fruits,Elegant tannins,Medium-body,,Manchego,Hard,Brittle,Intense,Salty,Velvety,Nutty,Complementary,C,Manchego e Sangiovese combinam pela textura e sabores intensos complementando os taninos do vinho.,"Manchego and Sangiovese combine for their texture and intense flavors, complementing the tannins of the wine."
Rosé,Sangiovese,Light-Medium,Sour red fruits,Elegant tannins,Medium-body,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Complementary,C,Pecorino e Sangiovese se complementam pela intensidade e complexidade de sabores com o queijo contrastando com o perfil ácido do vinho.,Pecorino and Sangiovese complement each other by the intensity and complexity of flavors with the cheese contrasting with the acidic profile of the wine.
Rosé,Sangiovese,Light-Medium,Sour red fruits,Elegant tannins,Medium-body,,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Sangiovese combinam pela suavidade e textura harmonizando os sabores frutados e ácidos do vinho.,"Gouda and Sangiovese combine for their smoothness and texture, harmonizing the fruity and acidic flavors of the wine."
Rosé,Pinot Noir,Light,Red fruits,Floral,Soft tannins,Light body,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Complementary,C,Gouda e Pinot Noir se complementam pela textura e suavidade dos sabores harmonizando a leveza do vinho.,"Gouda and Pinot Noir complement each other by the texture and smoothness of the flavors, harmonizing the lightness of the wine."
Rosé,Pinot Noir,Light,Red fruits,Floral,Soft tannins,Light body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Pinot Noir contrastam pela intensidade do queijo e a leveza do vinho criando um equilíbrio interessante.,"Roquefort and Pinot Noir contrast with the intensity of the cheese and the lightness of the wine, creating an interesting balance."
